"","strain","minute","replicate","id"
"GSM1368273","wt","0","r1","wt_0_r1"
"GSM1368274","wt","0","r2","wt_0_r2"
"GSM1368275","wt","0","r3","wt_0_r3"
"GSM1368276","wt","15","r1","wt_15_r1"
"GSM1368277","wt","15","r2","wt_15_r2"
"GSM1368278","wt","15","r3","wt_15_r3"
"GSM1368279","wt","30","r1","wt_30_r1"
"GSM1368280","wt","30","r2","wt_30_r2"
"GSM1368281","wt","30","r3","wt_30_r3"
"GSM1368282","wt","60","r1","wt_60_r1"
"GSM1368283","wt","60","r2","wt_60_r2"
"GSM1368284","wt","60","r3","wt_60_r3"
"GSM1368285","wt","120","r1","wt_120_r1"
"GSM1368286","wt","120","r2","wt_120_r2"
"GSM1368287","wt","120","r3","wt_120_r3"
"GSM1368288","wt","180","r1","wt_180_r1"
"GSM1368289","wt","180","r2","wt_180_r2"
"GSM1368290","wt","180","r3","wt_180_r3"
"GSM1368291","mut","0","r1","mut_0_r1"
"GSM1368292","mut","0","r2","mut_0_r2"
"GSM1368293","mut","0","r3","mut_0_r3"
"GSM1368294","mut","15","r1","mut_15_r1"
"GSM1368295","mut","15","r2","mut_15_r2"
"GSM1368296","mut","15","r3","mut_15_r3"
"GSM1368297","mut","30","r1","mut_30_r1"
"GSM1368298","mut","30","r2","mut_30_r2"
"GSM1368299","mut","30","r3","mut_30_r3"
"GSM1368300","mut","60","r1","mut_60_r1"
"GSM1368301","mut","60","r2","mut_60_r2"
"GSM1368302","mut","60","r3","mut_60_r3"
"GSM1368303","mut","120","r1","mut_120_r1"
"GSM1368304","mut","120","r2","mut_120_r2"
"GSM1368305","mut","120","r3","mut_120_r3"
"GSM1368306","mut","180","r1","mut_180_r1"
"GSM1368307","mut","180","r2","mut_180_r2"
"GSM1368308","mut","180","r3","mut_180_r3"
